,index,country,year,population,gdp,co2,co2_growth_prct
186,936,Albania,1998,3232185.0,12466707456.0,1.755,13.72
187,937,Albania,1999,3208265.0,14151858176.0,2.986,70.182
188,938,Albania,2000,3182027.0,15214264320.0,3.025,1.297
189,939,Albania,2001,3153615.0,16563844096.0,3.221,6.471
190,940,Albania,2002,3123554.0,17408065536.0,3.748,16.382
191,941,Albania,2003,3092993.0,18465497088.0,4.303,14.813
192,942,Albania,2004,3062629.0,19587880960.0,4.177,-2.947
193,943,Albania,2005,3032636.0,20781076480.0,4.261,2.029
194,944,Albania,2006,3003391.0,22124285952.0,3.911,-8.23
195,945,Albania,2007,2976089.0,23574646784.0,3.949,0.978
196,946,Albania,2008,2951690.0,25476937728.0,4.397,11.347
197,947,Albania,2009,2930553.0,26471389184.0,4.407,0.216
198,948,Albania,2010,2913402.0,27598268416.0,4.784,8.563
199,949,Albania,2011,2900660.0,28452651008.0,5.315,11.096
200,950,Albania,2012,2892191.0,28855377920.0,4.85,-8.742
201,951,Albania,2013,2887019.0,29142642688.0,5.287,9.019
202,952,Albania,2014,2884100.0,29675640832.0,6.0,13.469
203,953,Albania,2015,2882482.0,30444531712.0,4.712,-21.46
204,954,Albania,2016,2881064.0,31481821184.0,4.632,-1.701
205,955,Albania,2017,2879361.0,32678760448.0,5.564,20.125
206,956,Albania,2018,2877019.0,34009112576.0,4.984,-10.426
207,957,Albania,2019,2873883.0,,4.947,-0.734
208,958,Albania,2020,2866850.0,,4.729,-4.425
209,959,Albania,2021,2854710.0,,4.619,-2.315
210,1090,Algeria,1980,18739378.0,94481653760.0,66.416,45.824
211,1091,Algeria,1981,19351356.0,96860520448.0,46.342,-30.225
212,1092,Algeria,1982,20000098.0,103073660928.0,39.173,-15.47
213,1093,Algeria,1983,20682110.0,108430385152.0,52.504,34.031
214,1094,Algeria,1984,21393532.0,114406670336.0,70.947,35.126
215,1095,Algeria,1985,22132910.0,120364212224.0,72.609,2.343
216,1096,Algeria,1986,22882560.0,119145037824.0,76.08,4.781
217,1097,Algeria,1987,23586098.0,118321217536.0,83.883,10.256
218,1098,Algeria,1988,24243024.0,115821715456.0,83.708,-0.209
219,1099,Algeria,1989,24889516.0,119762436096.0,79.808,-4.659
220,1100,Algeria,1990,25518074.0,117843181568.0,76.738,-3.848
221,1101,Algeria,1991,26133906.0,121105154048.0,78.807,2.696
222,1102,Algeria,1992,26748302.0,127982673920.0,79.883,1.366
223,1103,Algeria,1993,27354326.0,130275762176.0,81.944,2.58
224,1104,Algeria,1994,27937006.0,134279872512.0,86.147,5.13
225,1105,Algeria,1995,28478024.0,145054695424.0,94.981,10.254
226,1106,Algeria,1996,28984640.0,156579102720.0,96.786,1.9
227,1107,Algeria,1997,29476030.0,164644454400.0,87.005,-10.106
228,1108,Algeria,1998,29924664.0,179962871808.0,106.621,22.546
229,1109,Algeria,1999,30346086.0,193179811840.0,91.668,-14.024
230,1110,Algeria,2000,30774624.0,208554147840.0,82.221,-10.306
231,1111,Algeria,2001,31200984.0,223420301312.0,83.78,1.896
232,1112,Algeria,2002,31624700.0,245360885760.0,89.407,6.716
233,1113,Algeria,2003,32055882.0,273568645120.0,91.048,1.836
234,1114,Algeria,2004,32510184.0,296773615616.0,87.853,-3.509
235,1115,Algeria,2005,32956690.0,326854475776.0,106.473,21.194
236,1116,Algeria,2006,33435082.0,345705349120.0,100.203,-5.889
237,1117,Algeria,2007,33983836.0,371665207296.0,108.402,8.182
238,1118,Algeria,2008,34569592.0,395658559488.0,109.032,0.581
239,1119,Algeria,2009,35196040.0,418247671808.0,120.185,10.229
240,1120,Algeria,2010,35856348.0,450705883136.0,117.813,-1.973
241,1121,Algeria,2011,36543548.0,482034778112.0,119.808,1.693
242,1122,Algeria,2012,37260568.0,497923358720.0,135.674,13.244
243,1123,Algeria,2013,38000628.0,511887736832.0,140.786,3.768
244,1124,Algeria,2014,38760168.0,531308085248.0,151.283,7.456
245,1125,Algeria,2015,39543148.0,551519125504.0,160.087,5.82
246,1126,Algeria,2016,40339328.0,574696128512.0,158.748,-0.836
247,1127,Algeria,2017,41136548.0,582167232512.0,166.411,4.827
248,1128,Algeria,2018,41927008.0,590317551616.0,173.912,4.507
249,1129,Algeria,2019,42705372.0,,179.505,3.216
250,1130,Algeria,2020,43451668.0,,172.504,-3.9
251,1131,Algeria,2021,44177964.0,,176.269,2.182
252,1262,American Samoa,1980,32908.0,,,
253,1263,American Samoa,1981,34080.0,,,
254,1264,American Samoa,1982,35388.0,,,
255,1265,American Samoa,1983,36755.0,,,
256,1266,American Samoa,1984,38193.0,,,
257,1267,American Samoa,1985,39688.0,,,
258,1268,American Samoa,1986,41240.0,,,
259,1269,American Samoa,1987,42859.0,,,
260,1270,American Samoa,1988,44564.0,,,
261,1271,American Samoa,1989,46310.0,,,
262,1272,American Samoa,1990,47841.0,,,
263,1273,American Samoa,1991,49016.0,,,
264,1274,American Samoa,1992,50096.0,,,
265,1275,American Samoa,1993,51195.0,,,
266,1276,American Samoa,1994,52311.0,,,
267,1277,American Samoa,1995,53421.0,,,
268,1278,American Samoa,1996,54523.0,,,
269,1279,American Samoa,1997,55595.0,,,
270,1280,American Samoa,1998,56626.0,,,
271,1281,American Samoa,1999,57617.0,,,
272,1282,American Samoa,2000,58251.0,,,
273,1283,American Samoa,2001,58342.0,,,
274,1284,American Samoa,2002,58200.0,,,
275,1285,American Samoa,2003,57962.0,,,
276,1286,American Samoa,2004,57653.0,,,
277,1287,American Samoa,2005,57277.0,,,
278,1288,American Samoa,2006,56857.0,,,
279,1289,American Samoa,2007,56402.0,,,
280,1290,American Samoa,2008,55909.0,,,
281,1291,American Samoa,2009,55386.0,,,
282,1292,American Samoa,2010,54871.0,,,
283,1293,American Samoa,2011,54334.0,,,
284,1294,American Samoa,2012,53718.0,,,
285,1295,American Samoa,2013,53017.0,,,
286,1296,American Samoa,2014,52234.0,,,
287,1297,American Samoa,2015,51391.0,,,
288,1298,American Samoa,2016,50468.0,,,
289,1299,American Samoa,2017,49486.0,,,
290,1300,American Samoa,2018,48445.0,,,
291,1301,American Samoa,2019,47341.0,,,
292,1302,American Samoa,2020,46216.0,,,
293,1303,American Samoa,2021,45056.0,,,
294,1534,Andorra,1980,35639.0,,0.0,
295,1535,Andorra,1981,37008.0,,0.0,
296,1536,Andorra,1982,38617.0,,0.0,
297,1537,Andorra,1983,40456.0,,0.0,
298,1538,Andorra,1984,42202.0,,0.0,
299,1539,Andorra,1985,43834.0,,0.0,
300,1540,Andorra,1986,45625.0,,0.0,
301,1541,Andorra,1987,47659.0,,0.0,
302,1542,Andorra,1988,49680.0,,0.0,
303,1543,Andorra,1989,51661.0,,0.0,
304,1544,Andorra,1990,53590.0,,0.407,
305,1545,Andorra,1991,55455.0,,0.407,0.0
306,1546,Andorra,1992,57305.0,,0.407,0.0
307,1547,Andorra,1993,59177.0,,0.41,0.901
308,1548,Andorra,1994,61057.0,,0.407,-0.893
309,1549,Andorra,1995,62944.0,,0.425,4.505
310,1550,Andorra,1996,64166.0,,0.454,6.897
311,1551,Andorra,1997,64702.0,,0.465,2.419
312,1552,Andorra,1998,65204.0,,0.491,5.512
313,1553,Andorra,1999,65675.0,,0.513,4.478
314,1554,Andorra,2000,66116.0,,0.524,2.143
315,1555,Andorra,2001,67841.0,,0.524,0.0
316,1556,Andorra,2002,70868.0,,0.531,1.399
317,1557,Andorra,2003,73929.0,,0.535,0.69
318,1558,Andorra,2004,76950.0,,0.561,4.795
319,1559,Andorra,2005,79845.0,,0.575,2.614
320,1560,Andorra,2006,80241.0,,0.546,-5.096
321,1561,Andorra,2007,78187.0,,0.539,-1.342
322,1562,Andorra,2008,76073.0,,0.539,0.0
323,1563,Andorra,2009,73879.0,,0.517,-4.082
324,1564,Andorra,2010,71542.0,,0.517,0.0
325,1565,Andorra,2011,70587.0,,0.491,-4.965
326,1566,Andorra,2012,71035.0,,0.487,-0.746
327,1567,Andorra,2013,71385.0,,0.476,-2.256
328,1568,Andorra,2014,71644.0,,0.462,-3.077
329,1569,Andorra,2015,71766.0,,0.465,0.794
330,1570,Andorra,2016,72563.0,,0.469,0.787
331,1571,Andorra,2017,73853.0,,0.465,-0.781
332,1572,Andorra,2018,75034.0,,0.495,6.299
333,1573,Andorra,2019,76361.0,,0.48,-2.963
334,1574,Andorra,2020,77723.0,,0.449,-6.479
335,1575,Andorra,2021,79057.0,,0.453,0.892
336,1706,Angola,1980,8330053.0,10330398720.0,5.334,-2.821
337,1707,Angola,1981,8631461.0,10119853056.0,5.267,-1.267
338,1708,Angola,1982,8947154.0,9643454464.0,4.635,-11.992
339,1709,Angola,1983,9276704.0,9325808640.0,5.101,10.04
340,1710,Angola,1984,9617709.0,9370042368.0,4.986,-2.249
341,1711,Angola,1985,9970631.0,9420208128.0,4.676,-6.212
342,1712,Angola,1986,10332577.0,8569987072.0,4.634,-0.904
343,1713,Angola,1987,10694060.0,9540738048.0,5.786,24.865
344,1714,Angola,1988,11060263.0,10911810560.0,5.049,-12.733
345,1715,Angola,1989,11439505.0,11089227776.0,4.923,-2.506
346,1716,Angola,1990,11828643.0,11482503168.0,5.09,3.395
347,1717,Angola,1991,12228698.0,12341160960.0,5.064,-0.507
348,1718,Angola,1992,12632509.0,12363426816.0,5.164,1.982
349,1719,Angola,1993,13038277.0,9985481728.0,5.748,11.307
350,1720,Angola,1994,13462032.0,10760810496.0,3.865,-32.772
351,1721,Angola,1995,13912258.0,13143744512.0,10.949,183.319
352,1722,Angola,1996,14383352.0,15819794432.0,10.424,-4.794
353,1723,Angola,1997,14871148.0,17972224000.0,7.348,-29.512
354,1724,Angola,1998,15366866.0,19904956416.0,7.268,-1.078
355,1725,Angola,1999,15870759.0,21527384064.0,9.13,25.615
356,1726,Angola,2000,16394067.0,23512020992.0,9.516,4.226
357,1727,Angola,2001,16941584.0,26014777344.0,9.671,1.628
358,1728,Angola,2002,17516140.0,31389599744.0,12.598,30.268
359,1729,Angola,2003,18124346.0,35081187328.0,8.989,-28.648
360,1730,Angola,2004,18771128.0,41307009024.0,18.701,108.04
361,1731,Angola,2005,19450962.0,51967275008.0,19.006,1.633
362,1732,Angola,2006,20162338.0,66748907520.0,22.102,16.288
363,1733,Angola,2007,20909692.0,87085293568.0,24.977,13.011
364,1734,Angola,2008,21691524.0,105591652352.0,25.486,2.038
365,1735,Angola,2009,22507674.0,115245899776.0,27.565,8.156
366,1736,Angola,2010,23364196.0,126981791744.0,28.865,4.714
367,1737,Angola,2011,24259120.0,140474318848.0,30.33,5.076
368,1738,Angola,2012,25188298.0,149070692352.0,25.54,-15.792
369,1739,Angola,2013,26147012.0,160861175808.0,24.719,-3.216
370,1740,Angola,2014,27128340.0,170193272832.0,25.148,1.736
371,1741,Angola,2015,28127724.0,176848732160.0,25.531,1.524
372,1742,Angola,2016,29154742.0,178333876224.0,27.21,6.575
373,1743,Angola,2017,30208634.0,178066374656.0,24.304,-10.679
374,1744,Angola,2018,31273538.0,175929573376.0,22.779,-6.273
375,1745,Angola,2019,32353592.0,,21.818,-4.221
376,1746,Angola,2020,33428490.0,,20.276,-7.069
377,1747,Angola,2021,34503776.0,,21.363,5.361
378,1878,Anguilla,1980,6583.0,,,
379,1879,Anguilla,1981,6596.0,,,
380,1880,Anguilla,1982,6608.0,,,
381,1881,Anguilla,1983,6627.0,,,
382,1882,Anguilla,1984,6717.0,,,
383,1883,Anguilla,1985,6935.0,,,
384,1884,Anguilla,1986,7193.0,,,
385,1885,Anguilla,1987,7460.0,,,
386,1886,Anguilla,1988,7743.0,,,
387,1887,Anguilla,1989,8041.0,,,
388,1888,Anguilla,1990,8340.0,,0.051,
389,1889,Anguilla,1991,8638.0,,0.051,0.0
390,1890,Anguilla,1992,8911.0,,0.055,7.143
391,1891,Anguilla,1993,9144.0,,0.066,20.0
392,1892,Anguilla,1994,9381.0,,0.066,0.0
393,1893,Anguilla,1995,9625.0,,0.066,0.0
394,1894,Anguilla,1996,9886.0,,0.07,5.556
395,1895,Anguilla,1997,10152.0,,0.07,0.0
396,1896,Anguilla,1998,10438.0,,0.077,10.526
397,1897,Anguilla,1999,10744.0,,0.081,4.762
398,1898,Anguilla,2000,11071.0,,0.088,9.091
399,1899,Anguilla,2001,11367.0,,0.095,8.333
400,1900,Anguilla,2002,11583.0,,0.095,0.0
401,1901,Anguilla,2003,11761.0,,0.103,7.692
402,1902,Anguilla,2004,11957.0,,0.121,17.857
403,1903,Anguilla,2005,12149.0,,0.128,6.061
404,1904,Anguilla,2006,12347.0,,0.143,11.429
405,1905,Anguilla,2007,12546.0,,0.15,5.128
406,1906,Anguilla,2008,12754.0,,0.15,0.0
407,1907,Anguilla,2009,12970.0,,0.147,-2.439
408,1908,Anguilla,2010,13192.0,,0.15,2.5
409,1909,Anguilla,2011,13363.0,,0.143,-4.878
410,1910,Anguilla,2012,13479.0,,0.143,0.0
411,1911,Anguilla,2013,13727.0,,0.117,-17.949
412,1912,Anguilla,2014,14143.0,,0.139,18.75
413,1913,Anguilla,2015,14554.0,,0.154,10.526
414,1914,Anguilla,2016,14842.0,,0.154,0.0
415,1915,Anguilla,2017,15040.0,,0.143,-7.143
416,1916,Anguilla,2018,15201.0,,0.143,0.0
417,1917,Anguilla,2019,15408.0,,0.154,7.692
418,1918,Anguilla,2020,15612.0,,0.131,-14.62
419,1919,Anguilla,2021,15779.0,,0.145,10.164
420,1920,Antarctica,1987,,,0.004,
421,1921,Antarctica,1988,,,0.007,100.0
422,1922,Antarctica,1989,,,0.007,0.0
423,1923,Antarctica,1990,,,0.011,50.0
424,1924,Antarctica,1991,,,0.015,33.333
425,1925,Antarctica,1992,,,0.015,0.0
426,1926,Antarctica,1993,,,0.015,0.0
427,1927,Antarctica,1994,,,0.015,0.0
428,1928,Antarctica,1995,,,0.004,-75.0
429,1929,Antarctica,1996,,,0.004,0.0
430,1930,Antarctica,1997,,,0.004,0.0
431,1931,Antarctica,1998,,,0.004,0.0
432,1932,Antarctica,1999,,,0.004,0.0
433,1933,Antarctica,2000,,,0.004,0.0
434,1934,Antarctica,2001,,,0.004,0.0
435,1935,Antarctica,2002,,,0.004,0.0
436,1936,Antarctica,2003,,,0.004,0.0
437,1937,Antarctica,2004,,,0.007,100.0
438,1938,Antarctica,2005,,,0.007,0.0
439,1939,Antarctica,2006,,,0.007,0.0
440,1940,Antarctica,2007,,,0.011,50.0
441,2071,Antigua and Barbuda,1980,64907.0,,0.143,-64.865
442,2072,Antigua and Barbuda,1981,65092.0,,0.106,-25.641
443,2073,Antigua and Barbuda,1982,65246.0,,0.293,175.862
444,2074,Antigua and Barbuda,1983,65426.0,,0.084,-71.25
445,2075,Antigua and Barbuda,1984,65379.0,,0.147,73.913
446,2076,Antigua and Barbuda,1985,65068.0,,0.249,70.0
447,2077,Antigua and Barbuda,1986,64732.0,,0.249,0.0
448,2078,Antigua and Barbuda,1987,64373.0,,0.275,10.294
449,2079,Antigua and Barbuda,1988,64002.0,,0.286,4.0
450,2080,Antigua and Barbuda,1989,63657.0,,0.286,0.0
451,2081,Antigua and Barbuda,1990,63346.0,,0.22,-23.077
452,2082,Antigua and Barbuda,1991,63653.0,,0.213,-3.333
453,2083,Antigua and Barbuda,1992,64676.0,,0.209,-1.724
454,2084,Antigua and Barbuda,1993,65849.0,,0.216,3.509
455,2085,Antigua and Barbuda,1994,67091.0,,0.216,0.0
456,2086,Antigua and Barbuda,1995,68417.0,,0.224,3.39
457,2087,Antigua and Barbuda,1996,69817.0,,0.238,6.557
458,2088,Antigua and Barbuda,1997,71233.0,,0.256,7.692
459,2089,Antigua and Barbuda,1998,72589.0,,0.271,5.714
460,2090,Antigua and Barbuda,1999,73833.0,,0.282,4.054
461,2091,Antigua and Barbuda,2000,75070.0,,0.293,3.896
462,2092,Antigua and Barbuda,2001,76227.0,,0.297,1.25
463,2093,Antigua and Barbuda,2002,77216.0,,0.33,11.111
464,2094,Antigua and Barbuda,2003,78095.0,,0.352,6.667
465,2095,Antigua and Barbuda,2004,78955.0,,0.366,4.167
466,2096,Antigua and Barbuda,2005,79879.0,,0.374,2.0
467,2097,Antigua and Barbuda,2006,80909.0,,0.385,2.941
468,2098,Antigua and Barbuda,2007,82035.0,,0.407,5.714
469,2099,Antigua and Barbuda,2008,83267.0,,0.418,2.703
470,2100,Antigua and Barbuda,2009,84546.0,,0.443,6.14
471,2101,Antigua and Barbuda,2010,85710.0,,0.454,2.479
472,2102,Antigua and Barbuda,2011,86749.0,,0.443,-2.419
473,2103,Antigua and Barbuda,2012,87688.0,,0.458,3.306
474,2104,Antigua and Barbuda,2013,88512.0,,0.462,0.8
475,2105,Antigua and Barbuda,2014,89252.0,,0.462,0.0
476,2106,Antigua and Barbuda,2015,89958.0,,0.48,3.968
477,2107,Antigua and Barbuda,2016,90575.0,,0.491,2.29
478,2108,Antigua and Barbuda,2017,91133.0,,0.491,0.0
479,2109,Antigua and Barbuda,2018,91644.0,,0.498,1.493
480,2110,Antigua and Barbuda,2019,92127.0,,0.498,0.0
481,2111,Antigua and Barbuda,2020,92672.0,,0.425,-14.62
482,2112,Antigua and Barbuda,2021,93229.0,,0.469,10.164
483,2243,Argentina,1980,28024808.0,371076956160.0,108.657,-1.772
484,2244,Argentina,1981,28471284.0,349782016000.0,101.969,-6.155
485,2245,Argentina,1982,28922768.0,338761515008.0,103.352,1.356
486,2246,Argentina,1983,29377144.0,350706597888.0,105.143,1.733
487,2247,Argentina,1984,29832200.0,357844353024.0,106.453,1.246
488,2248,Argentina,1985,30287120.0,334171439104.0,100.532,-5.562
489,2249,Argentina,1986,30748332.0,358634684416.0,104.151,3.6
490,2250,Argentina,1987,31216450.0,367893610496.0,114.878,10.3
491,2251,Argentina,1988,31690790.0,360921169920.0,121.406,5.682
492,2252,Argentina,1989,32165770.0,338520801280.0,117.021,-3.612
493,2253,Argentina,1990,32637658.0,338751160320.0,112.079,-4.223
494,2254,Argentina,1991,33105766.0,376057921536.0,117.506,4.842
